Transacao_ID;Cliente_Nome;Cliente_Email;Debito_Credito;Tipo_Transacao;Status;Tipo_Pagamento;Valor_Bruto;Valor_Desconto;Valor_Taxa;Valor_Liquido;Transportadora;Num_Envio;Data_Transacao;Data_Compensacao;Ref_Transacao;Parcelas;Codigo_Usuario;Codigo_Venda;Serial_Leitor;Recebimentos;Recebidos;Valor_Recebido;Valor_Tarifa_Intermediacao;Valor_Taxa_Intermediacao;Valor_Taxa_Parcelamento;Valor_Tarifa_Boleto;Bandeira_Cartao_Credito
3929A061-7B3A-443F-850B-B0BB6970A5E3;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;41,5000;0,0000;1,3200;40,1800;;;30/10/2018 17:27:55;29/11/2018 00:00:00;;1;236115;931881;68918288;1;0;0,0000;0,0000;1,3200;0,0000;0,0000;MasterCard;
8110B771-B62F-488E-B83C-EEB688B85CD0;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;14,8500;0,0000;0,3500;14,5000;;;30/10/2018 17:05:50;31/10/2018 00:00:00;;1;236115;288248;68918288;1;1;14,5000;0,0000;0,3500;0,0000;0,0000;;
86D0C4BC-4AF2-4096-A2A1-5F5CAF4932E3;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;19,9000;0,0000;0,4800;19,4200;;;30/10/2018 16:15:47;31/10/2018 00:00:00;;1;236115;592321;68918288;1;1;19,4200;0,0000;0,4800;0,0000;0,0000;;
F687F103-FE3D-4484-A9BE-CCF10B41D577;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;16,1000;0,0000;0,3800;15,7200;;;30/10/2018 15:51:30;31/10/2018 00:00:00;;1;236115;579211;68918288;1;1;15,7200;0,0000;0,3800;0,0000;0,0000;;
2B06E804-58F4-43B9-8A3A-4EC2EC1BA139;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;39,9500;0,0000;0,9500;39,0000;;;30/10/2018 15:24:33;31/10/2018 00:00:00;;1;236115;668387;68918288;1;1;39,0000;0,0000;0,9500;0,0000;0,0000;;
FC704583-7ED2-4D5D-A2A6-AA065D5070FF;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;12,9000;0,0000;0,3100;12,5900;;;30/10/2018 15:04:45;31/10/2018 00:00:00;;1;236115;222517;68918288;1;1;12,5900;0,0000;0,3100;0,0000;0,0000;;
10E3B841-1314-4FAC-9055-989A43E75A3F;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;11,0000;0,0000;0,2600;10,7400;;;30/10/2018 14:42:36;31/10/2018 00:00:00;;1;236115;386331;68918288;1;1;10,7400;0,0000;0,2600;0,0000;0,0000;;
03CF8D52-330F-4F4D-A998-0FF96794C455;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;12,8000;0,0000;0,3100;12,4900;;;30/10/2018 14:07:45;31/10/2018 00:00:00;;1;236115;18064;68918288;1;1;12,4900;0,0000;0,3100;0,0000;0,0000;;
DC1932DA-DF2F-4C38-A906-3BE61FAE0285;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;19,1000;0,0000;0,6100;18,4900;;;30/10/2018 14:06:45;29/11/2018 00:00:00;;1;236115;521610;68918288;1;0;0,0000;0,0000;0,6100;0,0000;0,0000;Visa;
F57DB3B6-5599-46FB-B43F-EE87B5DE2B1B;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;30,8500;0,0000;0,9800;29,8700;;;30/10/2018 13:50:11;29/11/2018 00:00:00;;1;236115;844871;68918288;1;0;0,0000;0,0000;0,9800;0,0000;0,0000;MasterCard;
